"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"SushiConfigLogicalModel","SushiConfigLogicalModel","","","",0,*,"","","","null {[]} {[]}
","SUSHI Configuration Logical Model","Logical model defining the structure of sushi-config.yaml files used for FHIR Implementation Guide configuration. This model captures the essential metadata and configuration parameters needed for IG publishing.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"SushiConfigLogicalModel.id","SushiConfigLogicalModel.id","","","",1,1,"","","","string {[]} {[]}
","IG Identifier","Unique identifier for the IG, should match DAK id (e.g., smart.who.int.trust)","","","","","","","","","",,,,,"",,,,"SushiConfigLogicalModel.id",1,1,"",""
"SushiConfigLogicalModel.canonical","SushiConfigLogicalModel.canonical","","","",1,1,"","","","url {[]} {[]}
","Canonical URL","Canonical URL for the IG, should match DAK publicationUrl (e.g., http://smart.who.int/trust)","","","","","","","","","",,,,,"",,,,"SushiConfigLogicalModel.canonical",1,1,"",""
"SushiConfigLogicalModel.name","SushiConfigLogicalModel.name","","","",1,1,"","","","string {[]} {[]}
","IG Name","Short name for the IG, should derive from DAK name (e.g., Trust)","","","","","","","","","",,,,,"",,,,"SushiConfigLogicalModel.name",1,1,"",""
"SushiConfigLogicalModel.title","SushiConfigLogicalModel.title","","","",1,1,"","","","string {[]} {[]}
","IG Title","Full title of the IG, should match DAK title (e.g., WHO SMART Trust)","","","","","","","","","",,,,,"",,,,"SushiConfigLogicalModel.title",1,1,"",""
"SushiConfigLogicalModel.description","SushiConfigLogicalModel.description","","","",1,1,"","","","string {[]} {[]}
","IG Description","Description of the IG, should match DAK description","","","","","","","","","",,,,,"",,,,"SushiConfigLogicalModel.description",1,1,"",""
"SushiConfigLogicalModel.version","SushiConfigLogicalModel.version","","","",1,1,"","","","string {[]} {[]}
","IG Version","Version of the IG, should match DAK version","","","","","","","","","",,,,,"",,,,"SushiConfigLogicalModel.version",1,1,"",""
"SushiConfigLogicalModel.status","SushiConfigLogicalModel.status","","","",1,1,"","","","code {[]} {[]}
","IG Status","Publication status of the IG","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/publication-status","",,,,"SushiConfigLogicalModel.status",1,1,"",""
"SushiConfigLogicalModel.license","SushiConfigLogicalModel.license","","","",1,1,"","","","code {[]} {[]}
","License","License under which the IG is published, should match DAK license","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/spdx-license","",,,,"SushiConfigLogicalModel.license",1,1,"",""
"SushiConfigLogicalModel.copyrightYear","SushiConfigLogicalModel.copyrightYear","","","",0,1,"","","","string {[]} {[]}
","Copyright Year","Year or year range for copyright, should match DAK","","","","","","","","","",,,,,"",,,,"SushiConfigLogicalModel.copyrightYear",0,1,"",""
"SushiConfigLogicalModel.experimental","SushiConfigLogicalModel.experimental","","","",0,1,"","","","boolean {[]} {[]}
","Experimental","Whether this IG is experimental, should match DAK","","","","","","","","","",,,,,"",,,,"SushiConfigLogicalModel.experimental",0,1,"",""
"SushiConfigLogicalModel.releaseLabel","SushiConfigLogicalModel.releaseLabel","","","",0,1,"","","","string {[]} {[]}
","Release Label","Label for this release (e.g., ci-build, draft, ballot)","","","","","","","","","",,,,,"",,,,"SushiConfigLogicalModel.releaseLabel",0,1,"",""
"SushiConfigLogicalModel.publisher","SushiConfigLogicalModel.publisher","","","",1,1,"","","","BackboneElement {[]} {[]}
","Publisher","Organization responsible for publishing the IG","","","","","","","","","",,,,,"",,,,"SushiConfigLogicalModel.publisher",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SushiConfigLogicalModel.publisher.id","SushiConfigLogicalModel.publisher.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
