URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://fhir.org/guides/who/core/ValueSet/who-identifier-types,0.3.0,active,,WHOIdentifierTypes,ANC Identifier Types,"",,"Internal"
http://hl7.org/fhir/ValueSet/additional-instruction-codes,4.0.1,draft,"2.16.840.1.113883.4.642.3.95",SNOMEDCTAdditionalDosageInstructions,SNOMED CT Additional Dosage Instructions,"This value set includes all SNOMED CT Additional Dosage Instructions.","StructureDefinition/anc-b10-de115,StructureDefinition/anc-b10-de107,StructureDefinition/anc-b10-de95,StructureDefinition/who-medicationrequest,StructureDefinition/anc-medicationrequest,StructureDefinition/vitamin-a-supplement,StructureDefinition/anc-b10-de132,StructureDefinition/iron-supplement","SCT"
http://hl7.org/fhir/ValueSet/address-type,4.0.1,active,"2.16.840.1.113883.4.642.3.69",AddressType,AddressType,"The type of an address (physical / postal).","StructureDefinition/anc-patient,StructureDefinition/anc-base-patient,StructureDefinition/who-location,StructureDefinition/who-organization,StructureDefinition/anc-location,StructureDefinition/who-patient,StructureDefinition/anc-organization","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/address-use,4.0.1,active,"2.16.840.1.113883.4.642.3.67",AddressUse,AddressUse,"The use of an address.","StructureDefinition/anc-patient,StructureDefinition/anc-base-patient,StructureDefinition/who-location,StructureDefinition/who-organization,StructureDefinition/anc-location,StructureDefinition/who-patient,StructureDefinition/anc-organization","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/administration-method-codes,4.0.1,draft,"2.16.840.1.113883.4.642.3.97",SNOMEDCTAdministrationMethodCodes,SNOMED CT Administration Method Codes,"This value set includes some method codes from SNOMED CT - provided as an exemplar","StructureDefinition/anc-b10-de115,StructureDefinition/anc-b10-de107,StructureDefinition/anc-b10-de95,StructureDefinition/who-medicationrequest,StructureDefinition/anc-medicationrequest,StructureDefinition/vitamin-a-supplement,StructureDefinition/anc-b10-de132,StructureDefinition/iron-supplement","SCT"
http://hl7.org/fhir/ValueSet/administrative-gender,4.0.1,active,"2.16.840.1.113883.4.642.3.1",AdministrativeGender,AdministrativeGender,"The gender of a person used for administrative purposes.","StructureDefinition/who-practitioner,StructureDefinition/anc-patient,StructureDefinition/anc-base-patient,StructureDefinition/anc-practitioner,StructureDefinition/who-patient,StructureDefinition/who-relatedperson,StructureDefinition/anc-relatedperson","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/allergy-intolerance-category,4.0.1,draft,"2.16.840.1.113883.4.642.3.133",AllergyIntoleranceCategory,AllergyIntoleranceCategory,"Category of an identified substance associated with allergies or intolerances.","StructureDefinition/who-allergyintolerance,StructureDefinition/anc-allergyintolerance","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/allergy-intolerance-criticality,4.0.1,draft,"2.16.840.1.113883.4.642.3.129",AllergyIntoleranceCriticality,AllergyIntoleranceCriticality,"Estimate of the potential clinical harm, or seriousness, of a reaction to an identified substance.","StructureDefinition/who-allergyintolerance,StructureDefinition/anc-allergyintolerance","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/allergy-intolerance-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.131",AllergyIntoleranceType,AllergyIntoleranceType,"Identification of the underlying physiological mechanism for a Reaction Risk.","StructureDefinition/who-allergyintolerance,StructureDefinition/anc-allergyintolerance","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/allergyintolerance-clinical,4.0.1,draft,"2.16.840.1.113883.4.642.3.1372",AllergyIntoleranceClinicalStatusCodes,AllergyIntolerance Clinical Status Codes,"Preferred value set for AllergyIntolerance Clinical Status.","StructureDefinition/who-allergyintolerance,StructureDefinition/anc-allergyintolerance","THO"
http://hl7.org/fhir/ValueSet/allergyintolerance-code,4.0.1,draft,"2.16.840.1.113883.4.642.3.137",AllergyIntoleranceSubstance/Product,ConditionAndNegationCodes,AllergyIntolerance Substance/Product, Condition and Negation Codes,"This value set includes concept codes for specific substances/pharmaceutical products, allergy or intolerance conditions, and negation/exclusion codes to specify the absence of specific types of allergies or intolerances.","StructureDefinition/who-allergyintolerance,StructureDefinition/anc-allergyintolerance","SCT"
http://hl7.org/fhir/ValueSet/allergyintolerance-verification,4.0.1,draft,"2.16.840.1.113883.4.642.3.1370",AllergyIntoleranceVerificationStatusCodes,AllergyIntolerance Verification Status Codes,"Preferred value set for AllergyIntolerance Verification Status.","StructureDefinition/who-allergyintolerance,StructureDefinition/anc-allergyintolerance","THO"
http://hl7.org/fhir/ValueSet/appointment-cancellation-reason,4.0.1,draft,"2.16.840.1.113883.4.642.3.1381",AppointmentCancellationReason,Appointment cancellation reason,"This example value set defines a set of reasons for the cancellation of an appointment.","StructureDefinition/anc-appointment,StructureDefinition/who-appointment","THO"
http://hl7.org/fhir/ValueSet/appointmentstatus,4.0.1,draft,"2.16.840.1.113883.4.642.3.484",AppointmentStatus,AppointmentStatus,"The free/busy status of an appointment.","StructureDefinition/anc-appointment,StructureDefinition/who-appointment","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/approach-site-codes,4.0.1,draft,"2.16.840.1.113883.4.642.3.346",SNOMEDCTAnatomicalStructureForAdministrationSiteCodes,SNOMED CT Anatomical Structure for Administration Site Codes,"This value set includes Anatomical Structure codes from SNOMED CT - provided as an exemplar.","StructureDefinition/anc-b10-de115,StructureDefinition/anc-b10-de107,StructureDefinition/anc-b10-de95,StructureDefinition/who-medicationrequest,StructureDefinition/anc-medicationrequest,StructureDefinition/vitamin-a-supplement,StructureDefinition/anc-b10-de132,StructureDefinition/iron-supplement","SCT"
